prereq_course_id,course_id,confidence,methods
C0001,C3907,0.29166666666666663,skill_based
C0002,C12604,0.29166666666666663,skill_based
C0013,C14465,0.25,skill_based
C0013,C1832,0.29166666666666663,skill_based
C0013,C6689,0.5833333333333333,skill_based
C0016,C11338,0.41666666666666663,skill_based
C0016,C1550,0.41666666666666663,skill_based
C0022,C1413,0.26666666666666666,skill_based
C0029,C0595,0.75,skill_based
C0029,C11075,0.625,skill_based
C0029,C11158,0.75,skill_based
C0029,C12721,1.0,skill_based
C0029,C13473,0.625,skill_based
C0029,C13712,0.6666666666666666,skill_based
C0029,C2402,0.75,skill_based
C0029,C2920,1.0,skill_based
C0029,C2957,1.0,skill_based
C0029,C3173,1.0,skill_based
C0029,C4907,1.0,skill_based
C0029,C5402,0.6666666666666666,skill_based
C0029,C9550,0.75,skill_based
C0030,C10636,1.0,skill_based
C0030,C11940,1.0,skill_based
C0030,C12452,0.6666666666666666,skill_based
C0030,C14319,1.0,skill_based
C0030,C15631,0.75,skill_based
C0030,C4020,1.0,skill_based
C0030,C6263,0.75,skill_based
C0030,C7527,1.0,skill_based
C0038,C0271,1.0,skill_based
C0038,C0666,0.75,skill_based
C0038,C13242,1.0,skill_based
C0038,C1460,1.0,skill_based
C0038,C1524,1.0,skill_based
C0038,C15449,1.0,skill_based
C0038,C15738,1.0,skill_based
C0038,C2194,1.0,skill_based
C0038,C3936,1.0,skill_based
C0038,C5184,1.0,skill_based
C0038,C9010,1.0,skill_based
C0038,C9593,1.0,skill_based
C0038,C9735,0.75,skill_based
C0045,C0568,0.41666666666666663,skill_based
C0045,C10295,0.41666666666666663,skill_based
C0045,C11073,0.41666666666666663,skill_based
C0045,C15029,0.41666666666666663,skill_based
C0046,C0800,0.75,skill_based
C0046,C3234,1.0,skill_based
C0046,C7171,1.0,skill_based
C0050,C0066,0.75,skill_based
C0050,C0117,0.625,skill_based
C0050,C0553,0.75,skill_based
C0050,C10357,0.75,skill_based
C0050,C12906,1.0,skill_based
C0050,C15378,0.6666666666666666,skill_based
C0050,C1754,1.0,skill_based
C0050,C1893,1.0,skill_based
C0050,C2656,0.6666666666666666,skill_based
C0050,C6916,1.0,skill_based
C0050,C8186,1.0,skill_based
C0052,C0029,1.0,skill_based
C0052,C0595,0.75,skill_based
C0052,C11075,0.625,skill_based
C0052,C11158,0.75,skill_based
C0052,C12440,0.75,skill_based
C0052,C12721,1.0,skill_based
C0052,C13712,0.6666666666666666,skill_based
C0052,C2920,1.0,skill_based
C0052,C2957,1.0,skill_based
C0052,C3173,1.0,skill_based
C0052,C5402,0.6666666666666666,skill_based
C0052,C5497,1.0,skill_based
C0052,C9975,1.0,skill_based
C0053,C11273,1.0,skill_based
C0053,C11776,0.75,skill_based
C0053,C12307,1.0,skill_based
C0053,C12637,1.0,skill_based
C0053,C13485,1.0,skill_based
C0053,C13724,0.75,skill_based
C0053,C14343,1.0,skill_based
C0053,C15423,1.0,skill_based
C0053,C1607,0.6666666666666666,skill_based
C0053,C2187,1.0,skill_based
C0053,C2593,1.0,skill_based
C0053,C5359,1.0,skill_based
C0053,C6119,1.0,skill_based
C0053,C8085,1.0,skill_based
C0053,C9741,1.0,skill_based
C0053,C9937,1.0,skill_based
C0056,C12728,0.41666666666666663,skill_based
C0056,C14476,0.5,skill_based
C0057,C0484,1.0,skill_based
C0057,C13845,1.0,skill_based
C0060,C10392,1.0,skill_based
C0060,C10762,1.0,skill_based
C0060,C11314,1.0,skill_based
C0060,C11821,0.75,skill_based
C0060,C12476,1.0,skill_based
C0060,C12545,1.0,skill_based
C0060,C12889,1.0,skill_based
C0060,C3389,1.0,skill_based
C0060,C9105,1.0,skill_based
C0060,C9400,1.0,skill_based
C0062,C0802,1.0,skill_based
C0062,C10188,0.75,skill_based
C0062,C11315,1.0,skill_based
C0062,C1171,1.0,skill_based
C0062,C12873,1.0,skill_based
C0062,C2510,1.0,skill_based
C0062,C5674,0.75,skill_based
C0062,C8843,1.0,skill_based
C0062,C9083,1.0,skill_based
C0066,C0117,0.75,skill_based
C0066,C14758,0.41666666666666663,skill_based
C0066,C4636,0.35,skill_based
C0068,C0133,1.0,skill_based
C0068,C0291,1.0,skill_based
C0068,C0553,0.75,skill_based
C0068,C10581,1.0,skill_based
C0068,C11281,0.75,skill_based
C0068,C11641,1.0,skill_based
C0068,C13532,1.0,skill_based
C0068,C15231,1.0,skill_based
C0068,C15246,1.0,skill_based
C0068,C15602,1.0,skill_based
C0068,C2097,0.625,skill_based
C0068,C2295,1.0,skill_based
C0068,C2959,0.75,skill_based
C0068,C5052,0.75,skill_based
C0068,C6154,1.0,skill_based
C0068,C7480,1.0,skill_based
C0072,C0563,0.75,skill_based
C0072,C0741,0.75,skill_based
C0072,C11035,0.6666666666666666,skill_based
C0072,C11174,1.0,skill_based
C0072,C14070,1.0,skill_based
C0072,C14215,1.0,skill_based
C0072,C14735,1.0,skill_based
C0072,C14870,1.0,skill_based
C0072,C1877,1.0,skill_based
C0072,C2139,1.0,skill_based
C0072,C5051,0.625,skill_based
C0072,C8044,1.0,skill_based
C0072,C8118,1.0,skill_based
C0072,C8327,1.0,skill_based
C0072,C9039,1.0,skill_based
C0074,C7047,0.41666666666666663,skill_based
C0079,C0133,1.0,skill_based
C0079,C0291,1.0,skill_based
C0079,C10581,1.0,skill_based
C0079,C11281,0.75,skill_based
C0079,C1136,1.0,skill_based
C0079,C11641,1.0,skill_based
C0079,C12777,0.75,skill_based
C0079,C13532,1.0,skill_based
C0079,C15170,0.625,skill_based
C0079,C15231,1.0,skill_based
C0079,C15246,1.0,skill_based
C0079,C15602,1.0,skill_based
C0079,C2295,1.0,skill_based
C0079,C2959,0.75,skill_based
C0079,C3993,0.75,skill_based
C0079,C5052,0.75,skill_based
C0079,C7264,1.0,skill_based
C0079,C7480,1.0,skill_based
C0083,C4346,0.41666666666666663,skill_based
C0083,C8171,0.41666666666666663,skill_based
C0086,C11222,1.0,skill_based
C0086,C11408,1.0,skill_based
C0086,C13398,1.0,skill_based
C0086,C1356,1.0,skill_based
C0086,C14450,1.0,skill_based
C0086,C15752,1.0,skill_based
C0086,C1701,1.0,skill_based
C0086,C2566,1.0,skill_based
C0086,C3648,1.0,skill_based
C0086,C6067,1.0,skill_based
C0086,C6870,1.0,skill_based
C0086,C7151,0.75,skill_based
C0086,C9736,1.0,skill_based
C0087,C0254,1.0,skill_based
C0087,C0945,1.0,skill_based
C0087,C13386,1.0,skill_based
C0087,C13660,1.0,skill_based
C0087,C14687,1.0,skill_based
C0087,C15274,1.0,skill_based
C0087,C6378,1.0,skill_based
C0087,C6608,1.0,skill_based
C0087,C7534,1.0,skill_based
C0087,C8555,1.0,skill_based
C0088,C0108,0.75,skill_based
C0088,C0308,1.0,skill_based
C0088,C0512,1.0,skill_based
C0088,C1118,0.75,skill_based
C0088,C12338,1.0,skill_based
C0088,C12442,1.0,skill_based
C0088,C1313,1.0,skill_based
C0088,C13327,1.0,skill_based
C0088,C13410,1.0,skill_based
