learner_id,session_id,timestamp,content_type,time_spent,engagement_score,quiz_score,completion_rate,attempts_per_quiz,learning_outcome,course_id
L0,S1383,2025-12-29 02:55:47.292137,video,19.523409158154532,0.9695342397251459,63.63742815333744,0.7973535400526026,1,excellent,1
L0,S2230,2025-12-29 08:55:47.292137,reading,59.081811125015705,0.8933541703536545,77.36625648956658,0.9243515723236215,1,excellent,3
L0,S5251,2025-12-30 14:55:47.292137,quiz,20.315165050546515,0.8273545376781495,82.3767395799123,0.7189420878782173,1,good,2
L1,S278,2025-12-01 20:55:47.264624,video,53.55984480256037,0.5100131779629122,97.34573899761732,0.7388801953586326,2,poor,1
L1,S87,2025-12-02 20:55:47.262982,reading,19.502609144903904,0.8308161751855734,37.34625961441734,0.9127041172861096,1,average,3
L1,S4759,2025-12-03 08:55:47.262982,video,54.38555528267162,0.944059094467018,32.529061836174776,0.9702882687071404,4,poor,1
L1,S4748,2025-12-03 18:55:47.262982,quiz,27.838253478372224,0.9442320549614603,82.43268918792693,0.8890119635439946,2,average,2
L1,S360,2025-12-27 20:55:47.265090,quiz,52.74298773927611,0.5853323792749991,21.84431828833071,0.8640889754114164,2,average,2
L10,S1186,2025-12-29 04:55:47.306034,video,53.94360495604176,0.9089281528275148,51.014838045632324,0.92087194304015,4,average,1
L10,S1052,2025-12-29 05:55:47.306034,reading,15.056077892784941,0.9128554757803335,28.570756766089033,0.9781371345593348,4,good,3
L10,S1269,2025-12-30 16:55:47.306034,reading,56.27775170258827,0.8708013097258928,27.9415884176072,0.7394960766379775,4,excellent,3
L100,S272,2025-12-07 20:55:47.264575,reading,34.293138567041915,0.6504265541766275,68.68609976750291,0.9027543239393009,1,poor,3
L100,S171,2025-12-16 20:55:47.263746,video,40.759204274377545,0.5448131695774711,19.1190701464789,0.9983945924679993,2,average,1
L100,S2982,2025-12-17 17:55:47.263746,quiz,38.316455178651395,0.8159400796234426,52.70501564925637,0.8747601332322208,2,average,2
L100,S5597,2025-12-18 04:55:47.263746,video,15.133675836497083,0.5285011937759669,58.77984493716848,0.9521044532765524,4,average,1
L100,S5507,2025-12-18 20:55:47.263746,quiz,16.156928130032586,0.9991593782854784,54.1362638396132,0.7852175167121287,3,excellent,2
L100,S4673,2025-12-20 00:55:47.263746,video,39.41074521177992,0.7903779995278295,74.16841289918231,0.9025692512686112,3,average,1
L101,S1066,2025-12-29 08:55:47.423283,video,22.72786534581837,0.8884468741024363,7.079143601117444,0.8981164757187476,2,excellent,1
L101,S2081,2025-12-29 10:55:47.423283,quiz,42.19076604960966,0.9293000534912491,96.27325838611391,0.8885041352648333,4,poor,2
L102,S8,2025-12-19 20:55:47.262274,video,23.38995462207652,0.8009276918310042,10.794371464646435,0.7648154095035061,4,good,1
L102,S0,2025-12-26 20:55:47.262145,video,21.172457357153434,0.6419272643043226,55.781322551106996,0.9460037887358068,2,good,1
L102,S3892,2025-12-26 23:55:47.262145,reading,55.6629134099463,0.9880430120997858,22.228276663858527,0.7624318103789118,3,poor,3
L102,S4549,2025-12-27 14:55:47.262145,reading,48.39098631718837,0.8872860415871824,21.772889968293352,0.8863679591440502,1,average,3
L102,S1804,2025-12-27 16:55:47.262145,reading,57.266885755489966,0.6499692448990317,1.9167887524977778,0.8295968114390322,1,excellent,3
L103,S387,2025-12-25 20:55:47.265271,quiz,21.179238533891283,0.895168867930074,25.230724983940654,0.7828711974925459,4,poor,2
L103,S2294,2025-12-25 22:55:47.265271,reading,50.7981560492181,0.7467033502066975,91.16329137084756,0.9784042710188143,1,average,3
L103,S3096,2025-12-25 23:55:47.265271,video,57.10149996810368,0.6028107438496706,61.36831877287435,0.7669259003586925,4,average,1
L103,S2098,2025-12-27 08:55:47.265271,quiz,21.21494810907218,0.6772741044143037,56.45940812903215,0.7756968232791235,3,excellent,2
L103,S9867,2025-12-28 00:55:47.265271,video,30.798285941456545,0.5355187107016706,81.8307817675303,0.8007047201928524,3,poor,1
