course_id,prereq_course_id,confidence,methods
C0001,C0250,0.6666666666666666,skill_based
C0001,C1927,0.6666666666666666,skill_based
C0001,C4218,0.6666666666666666,skill_based
C0001,C6942,0.6666666666666666,skill_based
C0001,C7165,0.6666666666666666,skill_based
C0002,C12604,0.375,skill_based
C0002,C14465,0.20833333333333331,skill_based
C0010,C13958,0.625,skill_based
C0010,C14272,0.625,skill_based
C0010,C14343,0.625,skill_based
C0010,C14497,0.625,skill_based
C0010,C14556,0.625,skill_based
C0013,C11142,0.375,skill_based
C0013,C6047,0.375,skill_based
C0013,C6689,0.5833333333333333,skill_based
C0013,C8219,0.375,skill_based
C0013,C9845,0.375,skill_based
C0016,C11338,0.41666666666666663,skill_based
C0016,C1550,0.41666666666666663,skill_based
C0022,C1413,0.26666666666666666,skill_based
C0023,C2187,0.6666666666666666,skill_based
C0023,C2860,0.6666666666666666,skill_based
C0023,C2938,0.6666666666666666,skill_based
C0023,C2952,0.6666666666666666,skill_based
C0023,C3207,0.6666666666666666,skill_based
C0029,C0052,1.0,skill_based
C0029,C0115,1.0,skill_based
C0029,C0420,1.0,skill_based
C0029,C0704,1.0,skill_based
C0029,C2802,1.0,skill_based
C0030,C7044,1.0,skill_based
C0030,C7527,1.0,skill_based
C0030,C9074,1.0,skill_based
C0030,C9209,1.0,skill_based
C0030,C9698,1.0,skill_based
C0032,C14610,0.6666666666666666,skill_based
C0032,C4323,0.6666666666666666,skill_based
C0032,C5610,0.375,skill_based
C0032,C5614,0.375,skill_based
C0032,C5788,0.375,skill_based
C0036,C12332,0.75,skill_based
C0036,C12486,0.75,skill_based
C0036,C12504,0.75,skill_based
C0036,C12905,0.75,skill_based
C0036,C12954,0.75,skill_based
C0038,C5299,1.0,skill_based
C0038,C5330,1.0,skill_based
C0038,C5332,1.0,skill_based
C0038,C5630,1.0,skill_based
C0038,C5729,1.0,skill_based
C0045,C0568,0.41666666666666663,skill_based
C0045,C10295,0.41666666666666663,skill_based
C0045,C11073,0.41666666666666663,skill_based
C0045,C15029,0.41666666666666663,skill_based
C0046,C0800,0.5,skill_based
C0046,C3234,1.0,skill_based
C0046,C7171,1.0,skill_based
C0050,C4532,1.0,skill_based
C0050,C5915,1.0,skill_based
C0050,C6916,1.0,skill_based
C0050,C8415,1.0,skill_based
C0050,C8728,1.0,skill_based
C0052,C6908,1.0,skill_based
C0052,C9308,1.0,skill_based
